date,year,month,day,cluster_i,cluster_j,node_index
1995-07-04,1995,7,4,1,1,1
1995-07-05,1995,7,5,2,1,2
1995-07-06,1995,7,6,1,2,4
1995-07-07,1995,7,7,1,2,4
1995-07-08,1995,7,8,1,2,4
1995-07-09,1995,7,9,1,2,4
1995-07-10,1995,7,10,1,2,4
1995-07-11,1995,7,11,1,2,4
1995-07-12,1995,7,12,1,2,4
1995-07-13,1995,7,13,3,2,6
1995-07-14,1995,7,14,1,3,7
1995-07-15,1995,7,15,1,3,7
1995-07-16,1995,7,16,2,1,2
1995-07-17,1995,7,17,2,1,2
1995-07-18,1995,7,18,2,1,2
1995-07-19,1995,7,19,2,1,2
1995-07-20,1995,7,20,2,1,2
1995-07-21,1995,7,21,2,1,2
1995-07-22,1995,7,22,2,1,2
1995-07-23,1995,7,23,2,1,2
1995-07-24,1995,7,24,2,1,2
1995-07-25,1995,7,25,2,2,5
1995-07-26,1995,7,26,2,2,5
1995-07-27,1995,7,27,2,2,5
1995-07-28,1995,7,28,2,2,5
1995-07-29,1995,7,29,2,2,5
1995-07-30,1995,7,30,2,2,5
1995-07-31,1995,7,31,1,2,4
1995-08-01,1995,8,1,1,2,4
1995-08-02,1995,8,2,1,2,4
1995-08-03,1995,8,3,1,2,4
1995-08-04,1995,8,4,1,2,4
1995-08-05,1995,8,5,1,2,4
1995-08-06,1995,8,6,1,2,4
1995-08-07,1995,8,7,1,2,4
1995-08-08,1995,8,8,1,2,4
1995-08-09,1995,8,9,1,2,4
1995-08-10,1995,8,10,1,2,4
1995-08-11,1995,8,11,1,2,4
1995-08-12,1995,8,12,2,2,5
1995-08-13,1995,8,13,2,1,2
1995-08-14,1995,8,14,2,1,2
1995-08-15,1995,8,15,1,2,4
1995-08-16,1995,8,16,1,2,4
1995-08-17,1995,8,17,1,2,4
1995-08-18,1995,8,18,1,2,4
1995-08-19,1995,8,19,1,2,4
1995-08-20,1995,8,20,2,2,5
1995-08-21,1995,8,21,2,3,8
1995-08-22,1995,8,22,2,3,8
1995-08-23,1995,8,23,2,2,5
1995-08-24,1995,8,24,2,2,5
1995-08-25,1995,8,25,2,2,5
1995-08-26,1995,8,26,2,2,5
1995-08-27,1995,8,27,2,2,5
1995-08-28,1995,8,28,2,2,5
1995-08-29,1995,8,29,2,2,5
